time,issue_id,event_id,type,author,action,url
2026-01-05 14:45:34+00:00,85,21855682410,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/85
2026-01-05 14:45:34+00:00,85,21855682457,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/85
2026-01-05 14:45:34+00:00,85,21855682511,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/85
2026-01-05 14:45:34+00:00,85,21855682561,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/85
2026-01-05 14:45:32+00:00,84,21855681675,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/84
2026-01-05 14:45:32+00:00,84,21855681718,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/84
2026-01-05 14:45:32+00:00,84,21855681769,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/84
2026-01-05 14:45:32+00:00,84,21855681814,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/84
2026-01-05 14:45:30+00:00,83,21855681105,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/83
2026-01-05 14:45:30+00:00,83,21855681152,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/83
2026-01-05 14:45:30+00:00,83,21855681208,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/83
2026-01-05 14:45:27+00:00,82,21855680258,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/82
2026-01-05 14:45:27+00:00,82,21855680325,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/82
2026-01-05 14:45:27+00:00,82,21855680386,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/82
2026-01-05 14:45:25+00:00,81,21855679565,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/81
2026-01-05 14:45:25+00:00,81,21855679618,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/81
2026-01-05 14:45:25+00:00,81,21855679671,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/81
2026-01-05 14:45:22+00:00,80,21855678661,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/80
2026-01-05 14:45:22+00:00,80,21855678717,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/80
2026-01-05 14:45:22+00:00,80,21855678775,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/80
2026-01-05 14:45:20+00:00,79,21855677905,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/79
2026-01-05 14:45:20+00:00,79,21855677985,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/79
2026-01-05 14:45:20+00:00,79,21855678042,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/79
2026-01-05 14:45:18+00:00,78,21855677276,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/78
2026-01-05 14:45:18+00:00,78,21855677334,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/78
2026-01-05 14:45:18+00:00,78,21855677405,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/78
2026-01-05 14:45:15+00:00,77,21855676401,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/77
2026-01-05 14:45:15+00:00,77,21855676484,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/77
